"Account","Account Name","Location","Department","Class","Period 1 Amount","Period 2 Amount","Period 3 Amount","Period 4 Amount","Period 5 Amount","Period 6 Amount","Period 7 Amount","Period 8 Amount","Period 9 Amount","Period 10 Amount","Period 11 Amount","Period 12 Amount","Year","Subsidiary","Category"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","ES","Marketing : CRM","Global Marketing","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","-4388.71","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","IT","Marketing : CRM","Global Marketing","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","-10863.58","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","FR","Marketing : CRM","Global Marketing","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","-7163.52","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","SG","Marketing : CRM","Global Marketing","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","-745.4","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","HK","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","MY","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","ID","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","CZ","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","HU","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","SK","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","GP","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","UK","Finance : Finance","Global Finance","-101803.32","-63003.97","-80576.75","-95306.14","-81398.81","-91006.36","-97257.8","-97379.04","-67127.23","-62059.39","-59756.76","-44734.94","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","DE","Finance : Finance","Global Finance","-165545.45","-115117.65","-140757.14","-165262.92","-144505.43","-142153.03","-204141.82","-170287.2","-141103.75","-139580.57","-135908.43","-115812.54","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","CH","Finance : Finance","Global Finance","-6229.31","-3194.68","-6096.1","-6861.6","-7083.38","-5267.99","-6842.3","-7233.91","-6481.07","-4326.11","-4187.76","-3902.98","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","SE","Finance : Finance","Global Finance","-7692.93","-5138.43","-6491.01","-10904.36","-5802.83","-6160.85","-7329.96","-4011.39","-10643.62","-9247.73","-9040.46","-6379.38","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","DK","Finance : Finance","Global Finance","-2905.31","-4798.64","-2290.86","-3476.74","-1897.29","-1983.64","-2735.84","-2119.58","-2317.45","-2439.58","-1910.03","-1610.26","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","NO","Finance : Finance","Global Finance","-2527.83","-980.94","-1516.62","-2428.17","-1812.38","-1661.39","-1936.36","-1359.6","-2526.83","-2277.95","-2018.41","-1492.3","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","US","Finance : Finance","Global Finance","-34382.4","-31803.85","-33864.25","-49298.38","-35388.21","-32318.4","-34150.31","-64870.27","-32313.64","-33679.87","-30858.63","-28277.88","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","PL","Finance : Finance","Global Finance","-13648.61","-11873.51","-10729.46","-12503.22","-11910.42","-15039.65","-17860.42","-12299.46","-9043.49","-11017.14","-10767.79","-8794.85","FY 2019","Travelist Sp. z o.o.","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","NL","Finance : Finance","Global Finance","-6703.23","-6343.72","-3504.04","-8637.18","-5491.66","-7463.43","-8599.98","-6013.24","-7024.05","-7336.86","-7275.97","-6141.97","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","BE","Finance : Finance","Global Finance","-2482.38","-2477.08","-1283.39","-3123.53","-1888.55","-2260.91","-3105.14","-1918.95","-2026.19","-2635.63","-1946.64","-1629.06","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","ES","Finance : Finance","Global Finance","-1483.12","-939","-446.61","-2380.48","-2347.22","-2671.98","-3574.12","-2225.41","-2371.2","-2210.73","-2649.26","-2210.84","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","IT","Finance : Finance","Global Finance","-7546.34","-7537.19","-11248.65","-10568.28","-9911.1","-10777.71","-15456.55","-12659.84","-8464.19","-8162.72","-10455.31","-6804.54","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","FR","Finance : Finance","Global Finance","-5652.5","-7105.55","-5571.79","-8651.06","-5770.44","-8313.26","-10039.48","-8554.8","-3922.84","-4239.6","-4937.95","-3497.65","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","SG","Finance : Finance","Global Finance","-2073.03"," -   ","-1785.89","-4213.11","-1623.93","-1903.14","-1947.43","-1868.08","-2327.61","-3142.2","-2676.28","-2296.52","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","HK","Finance : Finance","Global Finance"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","MY","Finance : Finance","Global Finance","-405.96","-333.37","-372.67","-306.49","-395.98","-342.58","-394.24","-364.17"," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","ID","Finance : Finance","Global Finance","-374.74","-319.5","-359.6","-374.66","-434.51","-330.51","-52.85","-55.32"," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","CZ","Finance : Finance","Global Finance"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","HU","Finance : Finance","Global Finance"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","SK","Finance : Finance","Global Finance"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"52100","Cost of Sales : Core Cost of Sales : Payment Charges : Interchange Fee","GP","Finance : Finance","Global Finance"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","UK","CS : CS","Global Customer Services","-111499.45","-92240.59","-82428.72","-91836.29","-104960.3","-63877.7","-120181.42","-85299.83","-83077.85","-108818.43","-69003.86","-105487.89","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","DE","CS : CS","Global Customer Services","-77953","-83289.25","-84839.27","-80043.42","-91489.99","-74951.08","-99611.02","-100686.14","-81434.53","-80176.6","-72696.01","-105047.87","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","CH","CS : CS","Global Customer Services","-17.67","-70.6","-52.06","-20.49"," -   "," -   ","-1703.05","-46.41"," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","SE","CS : CS","Global Customer Services","-11000","-11000","-11000","-11000","-11000","-11000","-11000","-11000","-11000","-11000","-11000","-11000","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","DK","CS : CS","Global Customer Services","-8000","-8000","-8000","-8000","-8000","-8000","-8000","-8000","-8000","-8000","-8000","-8000","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","NO","CS : CS","Global Customer Services","-6000","-6000","-6000","-6000","-6000","-6000","-6000","-6000","-6000","-6000","-6000","-6000","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","US","CS : CS","Global Customer Services","-5860.29","-6257.31","-5926.99","-5895.52","-4930.43","-4982.73","-9038.11","-6311.69","-4456.92","-4146.26","-3328.61","-4142.15","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","PL","CS : CS","Global Customer Services","-27583.58","-26765.58","-26765.58","-26765.58","-26765.58","-27583.58","-27583.58","-27583.58","-26765.58","-26765.58","-26765.58","-26765.58","FY 2019","Travelist Sp. z o.o.","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","NL","CS : CS","Global Customer Services","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","BE","CS : CS","Global Customer Services","-3000","-3000","-3000","-3000","-3000","-3000","-3000","-3000","-3000","-3000","-3000","-3000","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","ES","CS : CS","Global Customer Services","-13988.73","-11971.17","-12568.64","-12575.93","-13973.16","-11401.49","-15116.31","-13218.57","-13402.94","-15268.12","-12925.58","-13958.66","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","IT","CS : CS","Global Customer Services","-19741.89","-16415.26","-16627.96","-20267.34","-19131.44","-14403.23","-24086.13","-17750.43","-24144.63","-30535.21","-21855.65","-18973.66","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","FR","CS : CS","Global Customer Services","-14388.43","-12322.3","-12746.23","-13136.41","-14164.03","-11403.61","-14994.08","-13523.17","-13442.32","-15017.04","-12777.16","-13730.7","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","SG","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","HK","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","MY","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","ID","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","CZ","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","HU","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","SK","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"53100","Cost of Sales : Core Cost of Sales : Customer Support : Customer Support Agents","GP","CS : CS","Global Customer Services"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","UK","Partnerships : Partnerships","Central Partnerships","-153803.11","-131384.29","-130392.2","-134789.3","-118748.73","-113270.02","-124255.89","-126442.98","-102957.22","-111198.8","-108395.27","-81050.18","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","DE","Partnerships : Partnerships","Central Partnerships","-49484.98","-34503.51","-33409.52","-33409.52","-36098.55","-30312.24","-34734.84","-34734.84","-34734.84","-34796.28","-37102.13","-31038.82","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","CH","Partnerships : Partnerships","Central Partnerships","-3944.47","-2578.28","-3800.88","-3290.36","-3607.71","-3454.21","-3380.81","-3319.08","-3683.67","-2123.76","-2700.08","-2700.08","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","SE","Partnerships : Partnerships","Central Partnerships","-583.56","-686.09","-781.35","-747.91","-454.46","-525.39","-775.63","-294.6","-505.62","-760.71","-860.56","-860.56","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","DK","Partnerships : Partnerships","Central Partnerships","-91.41","-141.57","-72.5","-23.56","-55.12","-86.82","-90.94","-138","-12.73"," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","NO","Partnerships : Partnerships","Central Partnerships"," -   ","-42.53"," -   ","-33.31","-12.44","-239.76"," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","US","Partnerships : Partnerships","Central Partnerships","-38882.86","-30443.36","-30349.85","-30587.27","-30971.15","-31646.61","-32235.49","-32566.48","-32554.12","-33168.17","-33577.54","-33986.9","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","PL","Partnerships : Partnerships","Central Partnerships","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","-1329.24","FY 2019","Travelist Sp. z o.o.","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","NL","Partnerships : Partnerships","Central Partnerships","-2075.54","-1579.72","-2089.05","-2130.18","-1505.55","-1606.73","-2105.64","-2138.92","-1623.32","-1804.38","-2737.16","-2737.16","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","BE","Partnerships : Partnerships","Central Partnerships","-20.27","-15.67","-9.64","-16.77","-9.45","-13.57","-15.76","-12.63","-6.55","-15.5","-15.94","-15.94","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","ES","Partnerships : Partnerships","Central Partnerships","-44.12","-40.99","-33.75","-43.32","-99.55","-32.5","-27.03","-43.73"," -   ","-24.99"," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","IT","Partnerships : Partnerships","Central Partnerships","-1062.59","-815.89","-1274.01","-1319.55","-868.18","-1113.53","-2399.5","-1275.48","-369.68","-691.64","-1000","-1000","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","FR","Partnerships : Partnerships","Central Partnerships","-36.34","-37.97","-40.05","-58.07","-60.47","-50.87","-150.34","-73.88","-68.56","-82.83"," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","SG","Partnerships : Partnerships","Central Partnerships","-37.64"," -   "," -   ","-3021.27"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","HK","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","MY","Partnerships : Partnerships","Central Partnerships"," -   "," -   ","-20.35","-94.86"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","ID","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","CZ","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","HU","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","SK","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"54100","Cost of Sales : Core Cost of Sales : Partner Revenue Share : Partners Cost","GP","Partnerships : Partnerships","Central Partnerships"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","UK","Marketing : Marketing","Global Marketing","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","DE","Marketing : Marketing","Global Marketing","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","CH","Marketing : Marketing","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","SE","Marketing : Marketing","Global Marketing","-1113.87","-2013.71","-707.04","-886.46","-292.83","-757.77","-1111.98","-494.26","-1752.46","-1014.49","-1014.49","-1014.49","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","DK","Marketing : Marketing","Global Marketing","-397.59","-299.68","-324.69","-333.11","-59.87","-281.11","-204.59","-689.37","-588.65","-353.18","-353.18","-353.18","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","NO","Marketing : Marketing","Global Marketing","-69.77","-321","264.39","-163.58","-46.4","-59.17","-26.87","-47.5","-27.47","-55.26","-55.26","-55.26","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","US","Marketing : Marketing","Global Marketing","-4294.8","-1069.04","-1145.49","-762.39","-533.89","-569.44","-810.87","-1443.92","-1783.96","-1379.31","-1379.31","-1379.31","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","PL","Marketing : Marketing","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Travelist Sp. z o.o.","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","NL","Marketing : Marketing","Global Marketing","-1949.81","-1300.26","-675.47","-755.93","-845.82","-1562.7","-1742.78","-1509.39","-2553.15","-1432.81","-1432.81","-1432.81","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","BE","Marketing : Marketing","Global Marketing","-377.42","-253.38","-129.4","-77.4","-77.19","-197.96","-142.09","-128.26","-248.24","-181.26","-181.26","-181.26","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","ES","Marketing : Marketing","Global Marketing","-623.92","-1092.84","-556.25","-359.89","-35.72","-149.02","-14.65","-570.97","-919.98","-480.36","-480.36","-480.36","FY 2019","Secret Escapes Limited","Board Plan"
"57260","Cost of Sales : Other Cost of Sales : Marketing cost of sales : Credits","IT","Marketing : Marketing","Global Marketing","-5439.24","-1551.45","-1681.96","-1926.84","-3967.92","-1120.56","-2213.31","-3335.46","-2642.31","-2653.23","-2653.23","-2653.23","FY 2019","Secret Escapes Limited","Board Plan"
